exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_200,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_200,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_200_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
2,5,1900-01-01 19:55:12,1900-01-01 19:55:12,1421.0,1748.0,1584.5,-163.5,3.117335378937625,3.1188117390397343,3.1184526253208524,3.118694249100358,3.1183234980996426,0.0005849976148918012,30.29357897719451,30.33664019183145,30.326162115353128,30.33321185176476,30.32239828403596,0.01706226873606422,0.9121609983165966,0.9134576018166826,0.9131420995543684,0.9133543720827461,0.9130287679425984,0.0005137569283428095,20.68,0.03,322.0,3.347749027567668,3.3656111460466462,3.3512579210110243,3.3510090715081517,3.3539067915333725,0.0068978849660323634,37.519641296341796,38.123416328287725,37.6377419604001,37.6293581491925,37.727539433555535,0.2332612816264295,21.51,1.48,1262.125,1384.75,123.0,367.4020084066634,1139.5,rw,1
3,6,1900-01-01 19:55:35,1900-01-01 19:55:36,1535.0,1796.0,1665.5,-130.5,3.1187115262634992,3.119358359043957,3.1195002783552,3.1195340265818987,3.1192760475611387,0.0003325252245507209,30.33371598077952,30.35259388410948,30.356736866133094,30.357722117323622,30.350192212086426,0.009705233073667677,0.9133695517624308,0.9139379787271202,0.9140627268336914,0.9140923934409354,0.9138656626910444,0.00029223140309819816,20.66,0.01,297.0,3.3482502303110198,3.3658282864484037,3.351424169923503,3.3532315614488937,3.3546835620329554,0.00667691137353274,37.53649539366333,38.13079567278741,37.643343627800824,37.70427858087125,37.7537283187807,0.225831790163997,21.67,1.51,1322.875,1420.75,98.0,380.1261281222984,1225.0,rw,1
4,7,1900-01-01 19:55:51,1900-01-01 19:55:52,1591.0,1777.0,1684.0,-93.0,3.1185034771504863,3.1198475281555518,3.1203912876240723,3.120494964853848,3.1198093144459893,0.0007930133340194094,30.327645703044265,30.366875551826812,30.382756283875423,30.385784850849472,30.365765597398997,0.02315066025031572,0.9131867714246168,0.9143680098004532,0.9148461898269982,0.9149373821115614,0.9143345882909072,0.0006970826847997617,20.55,0.0,261.0,3.348525135318535,3.366431168671074,3.352110989895348,3.354687165698161,3.3554386148957795,0.006713236969000449,37.545741851148186,38.15128913957876,37.66649154730607,37.753401047816574,37.779230896462394,0.2271133045870657,21.65,1.51,1336.75,1406.5,70.0,378.61797121240824,1267.0,rw,1
5,8,1900-01-01 19:56:06,1900-01-01 19:56:06,1713.0,1818.0,1765.5,-52.5,3.120375205535355,3.1210674113682875,3.1216269946317903,3.121369874756955,3.1211098715730965,0.00046812257194361797,30.382286520036157,30.402510493361934,30.418866230901877,30.41135029364507,30.403753384486254,0.013679201394956408,0.9148320449069504,0.9154410029872307,0.9159334857636589,0.9157071755994944,0.9154784273143336,0.0004118903880584882,20.42,0.01,229.0,3.3484780919872144,3.366195391947193,3.3525910308901934,3.356742939790088,3.3560018636536717,0.006570733085816899,37.54415943630468,38.14327362802239,37.682676019973094,37.82285017769761,37.79823981549944,0.22224189053813406,21.83,1.56,1397.875,1437.25,39.0,395.23371033003997,1358.5,rw,1
6,9,1900-01-01 19:56:20,1900-01-01 19:56:20,1887.0,2013.0,1950.0,-63.0,3.119532770748888,3.119176218400007,3.123619568837806,3.1201835476674296,3.1206280264135327,0.0017645267716188922,30.35768545394961,30.347277292466973,30.477153668072624,30.376688494583693,30.38970122726823,0.05158018175563096,0.9140912894809228,0.9137778924083688,0.917688561547838,0.9146634844179712,0.9150553069637752,0.0015531155998103733,21.33,0.03,258.0,3.346822073055116,3.365116497587899,3.353645618525336,3.3607720926456115,3.35658907045349,0.006969089532098712,37.4884836096462,38.10660964720698,37.718247480025,37.95921186081665,37.8181381494237,0.2354611743517123,22.3,1.74,1536.25,1583.5,47.0,443.84535947219285,1489.0,rw,1
8,11,1900-01-01 19:56:47,1900-01-01 19:56:47,2007.0,2057.0,2032.0,-25.0,3.117179821198937,3.1187213712884434,3.120065029940483,3.117794526767537,3.11844018729885,0.0010868047517353758,30.28904417591003,30.33400325050359,30.373227121940626,30.306966641460072,30.32581029745358,0.03171084510333845,0.9120244522561284,0.9133782016561424,0.9145592600498956,0.9125641103163638,0.9131315060696326,0.0009548358795340928,22.43,0.02,228.0,3.3539652735126286,3.3669555165714615,3.3530862885965376,3.35866124258463,3.3581670803163144,0.005498873363550395,37.729033928443975,38.16911899860252,37.69937837875325,37.88773195654678,37.87131581558664,0.18625442484148166,22.39,1.77,1597.75,1616.5,19.0,463.1005432138901,1579.0,rw,1
9,12,1900-01-01 19:57:01,1900-01-01 19:57:02,2134.0,2206.0,2170.0,-36.0,3.1170374908927085,3.1192705113909085,3.1196828476141043,3.116764909416067,3.1181889398284475,0.0012995436491100155,30.284895375705176,30.350029578820767,30.362067076893858,30.276950928793216,30.318485740053248,0.03790712270948801,0.9118995289600224,0.9138607656888752,0.9142232232336855,0.9116603160683484,0.9129109584877328,0.001141410162200698,23.09,0.04,253.0,3.3454987935683573,3.367677198915143,3.3559219528775968,3.3589433199862664,3.3570103163368414,0.007924938146709913,37.44403416290073,38.19366807608905,37.795105004921716,37.89727876982332,37.8325215034337,0.2678351912119838,22.87,1.96,1701.25,1728.25,27.0,499.3977153782344,1674.25,bdg,2
11,14,1900-01-01 19:57:53,1900-01-01 19:57:53,2292.0,2264.0,2278.0,14.0,3.114495148380687,3.1169028668970293,3.1180899874662558,3.1154973011178204,3.116246325965448,0.0013654481755208967,30.21085219011825,30.280971556164065,30.31558366167069,30.24002446013689,30.261857967022475,0.03978087120662672,0.9096700364944952,0.9117813799901524,0.9128235748637434,0.9105484340903488,0.9112058563596851,0.0011978300491023426,24.22,0.04,242.0,3.3470578051722484,3.364968071554113,3.3538994702696336,3.3658018755226657,3.3579318056296654,0.007841406963739373,37.496405628097094,38.10156753636103,37.72681329357498,38.12989806753997,37.863671131393275,0.2650874849508815,23.09,2.06,1782.25,1771.75,10.0,526.9081638435678,1792.75,bdg,2
12,15,1900-01-01 19:58:11,1900-01-01 19:58:11,2518.0,2518.0,2518.0,0.0,3.1163609815411646,3.1166541905178877,3.119763275553445,3.1187345852338995,3.1178782582115985,0.001421887527339653,30.265180917335414,30.273724399046106,30.364415413149125,30.33438882540593,30.30942738873415,0.041470501123343655,0.9113059127339116,0.9115631629852666,0.9142939332922294,0.9133898115880068,0.9126382051498536,0.0012487059958758036,24.65,0.07,252.0,3.3464523300974567,3.36376973732236,3.3574462261271383,3.3649982093817856,3.3581666257321854,0.0073452211073290145,37.47606026782075,38.06087577906332,37.84662846615052,38.10259129831358,37.871538952837035,0.24812171547691306,23.74,2.26,1962.25,1962.25,0.0,589.3745100740275,1962.25,bdg,2
13,16,1900-01-01 19:58:29,1900-01-01 19:58:30,2508.0,2548.0,2528.0,-20.0,3.1131540120514685,3.116649404927463,3.1176188369587177,3.118009877815884,3.116358032938382,0.001914997764804536,30.171841604164022,30.273584944283773,30.301843476586114,30.313247127038608,30.26512928801813,0.05576142967130773,0.9084954002768432,0.911558963904157,0.9124098482138409,0.9127532201603852,0.9113043581388064,0.001679015919341501,25.23,0.07,273.0,3.346354478551737,3.364455937307911,3.3556301739473224,3.362546428471498,3.357246754569617,0.007094255933120275,37.47277292094989,38.08417348017159,37.78524763337127,38.01936585485071,37.840389972335856,0.2396068338084617,23.84,2.27,1969.75,1984.75,15.0,592.1716078342494,1954.75,bdg,2
