exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_211,w_a_mean,w_a_std,w_v_110,w_v_211,w_v_mean,w_v_std,w_v_110_jbar,w_v_211_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
26,40,1900-01-01 11:47:42,1900-01-01 11:47:42,2250.0,2135.0,2192.5,57.5,3.10896387433818,3.139480801744769,3.124222338041475,0.015258463703294643,30.05017648212769,30.94378927782775,30.49698287997772,0.4468063978500307,0.9048319777654084,0.9317392884020249,0.9182856330837168,0.013453655318308276,21.06,0.39,277.0,3.348096547217269,3.350875527681135,3.3465955728454824,3.3485225492479618,0.0017730598121934995,37.53132690902254,37.624859532690394,37.480872890066244,37.54568644392639,0.059652803764977134,23.65,1.88,1718.125,1675.0,43.0,506.35972962040535,1761.25,bdg,2
27,41,1900-01-01 11:48:01,1900-01-01 11:48:01,2250.0,2115.0,2182.5,67.5,3.100424381362048,3.1314544283929293,3.1159394048774884,0.015515023515440872,29.80323658966999,30.70706353489342,30.255150062281707,0.4519134726117162,0.897396443687445,0.9246113095598826,0.9110038766236638,0.0136074329362188,23.9,0.13,286.0,3.319904323241058,3.3191731126951933,3.318744450263328,3.3192739620665264,0.0004788557736180637,36.5912043286501,36.56703196162556,36.55286618476346,36.5703674916797,0.015828195090297592,26.28,1.87,1710.625,1660.0,51.0,504.50906288316565,1761.25,bdg,2
28,42,1900-01-01 11:48:26,1900-01-01 11:48:26,1967.0,1875.0,1921.0,46.0,3.093841962389276,3.12380793741724,3.1088249499032576,0.01498298751398219,29.613816211434344,30.482667736825533,30.048241974129933,0.43442576269559297,0.8916928626928385,0.917854594041464,0.9047737283671512,0.013080865674312658,25.4,0.22,238.0,3.2939648773689747,3.2908035512947498,3.2923967382773727,3.2923883889803656,0.0012906194688246865,35.74019290861011,35.637388532233885,35.689173314909674,35.68891825191789,0.0419700984303026,28.25,1.62,1514.5,1480.0,34.0,435.12682346644635,1549.0,bdg,2
29,43,1900-01-01 11:48:45,1900-01-01 11:48:45,1850.0,1783.0,1816.5,33.5,3.092658016464517,3.122597984480481,3.1076280004724994,0.014969984007981997,29.579831532821242,30.44726065345421,30.01354609313773,0.4337145603164832,0.8906695600848987,0.9167884618244756,0.9037290109546872,0.013059450869788436,25.42,0.31,215.0,3.289762692934177,3.28680185359548,3.2878577180673223,3.28814075486566,0.0012252142042120655,35.603583649578646,35.5075387495434,35.54176946566623,35.55096395492942,0.03974552117579813,28.41,1.51,1436.125,1411.0,25.0,407.3508202781112,1461.25,bdg,2
30,44,1900-01-01 11:49:18,1900-01-01 11:49:18,1887.0,1836.0,1861.5,25.5,3.091507604965983,3.1274510391320347,3.1094793220490087,0.01797171708302581,29.546834361883946,30.58944224797893,30.068138304931434,0.5213039430474922,0.8896759920285641,0.9210696497719792,0.9053728209002716,0.01569682887170754,24.91,0.28,212.0,3.2876955154607668,3.2846270704531197,3.2856921411263453,3.2860049090134105,0.0012720604033413824,35.53650949056389,35.437102395597904,35.4715859983398,35.48173262816721,0.0412121196173736,28.77,1.56,1469.875,1450.75,19.0,418.73197367916634,1489.0,bdg,2
31,45,1900-01-01 11:49:36,1900-01-01 11:49:36,2219.0,2139.0,2179.0,40.0,3.0917614392588875,3.1288937189420802,3.110327579100484,0.018566139841596163,29.55411296176331,30.631794115981602,30.092953538872447,0.5388405771091449,0.8898951557971404,0.922344894345325,0.9061200250712328,0.01622486927409228,25.89,0.06,258.0,3.286603589450994,3.2841204194474685,3.285205281795168,3.2853097635645434,0.0010164384377824556,35.50111355496746,35.42070649381401,35.4558202664246,35.459213438402024,0.03291361504387897,29.72,1.86,1708.0,1678.0,30.0,501.9099919308242,1738.0,bdg,2
32,46,1900-01-01 11:49:57,1900-01-01 11:49:57,2222.0,2210.0,2216.0,6.0,3.090462490670588,3.1305088576630795,3.1104856741668336,0.02002318349624588,29.516878704445386,30.67925511446021,30.0980669094528,0.5811882050074146,0.8887740060857687,0.9237739784355852,0.9062739922606772,0.017499986174908274,25.98,0.04,228.0,3.2822322404718935,3.2809767533039293,3.282444173714925,3.281884389163583,0.0006476012482859554,35.35964705051314,35.3190862969895,35.366496994099286,35.34841011386731,0.020922796323561917,30.2,1.89,1735.75,1731.25,4.0,510.67048389837447,1740.25,bdg,2
33,47,1900-01-01 11:50:14,1900-01-01 11:50:14,2222.0,2145.0,2183.5,38.5,3.0880512537108764,3.1274448808485444,3.10774806727971,0.01969681356883401,29.447843723134035,30.589261546745995,30.018552634940015,0.5707089118059798,0.8866953141781824,0.9210642087305904,0.9038797614543864,0.01718444727620394,26.84,0.17,257.0,3.2769709022738227,3.2761690490027453,3.276327475989572,3.276489142422047,0.0003467412038069147,35.189877523535856,35.164051647815405,35.169153219862565,35.17436079707128,0.011167903696774768,30.7,1.86,1711.375,1682.5,29.0,503.0219274855223,1740.25,bdg,2
34,48,1900-01-01 11:50:34,1900-01-01 11:50:34,2275.0,2180.0,2227.5,47.5,3.0860983409995817,3.1222119286945595,3.1041551348470713,0.018056793847488702,29.392009766380795,30.43596920187833,29.913989484129573,0.5219797177487688,0.8850141144173239,0.916448468265126,0.9007312913412248,0.01571717692390101,28.36,0.27,270.0,3.27278450051539,3.272044430668419,3.2718250299485083,3.272217987044107,0.0004104772050790964,35.055182239549524,35.031406689453306,35.02436026879151,35.036983065931445,0.013186367994294084,31.31,1.91,1744.375,1708.75,36.0,514.9118439415139,1780.0,bdg,2
35,49,1900-01-01 11:50:48,1900-01-01 11:50:48,2211.0,2122.0,2166.5,44.5,3.0864470856947572,3.1216680152507323,3.1040575504727452,0.017610464777987778,29.40197522898173,30.420065429703907,29.911020329342822,0.5090451003610887,0.8853141815147639,0.9159695944841659,0.9006418879994651,0.015327706484700996,28.15,0.3,261.0,3.2699001010662037,3.2817099487491315,3.2686122361010863,3.2734074286388077,0.005894264397352592,34.96257846997325,35.34276971428702,34.921284228510785,35.07554413759036,0.18970755603496808,31.0,1.96,1698.625,1665.25,33.0,498.8479573289341,1732.0,bdg,2
36,50,1900-01-01 11:51:03,1900-01-01 11:51:03,2219.0,2153.0,2186.0,33.0,3.085665709302586,3.117991728330858,3.1018287188167215,0.01616300951413585,29.37965034247488,30.31271778302375,29.84618406274931,0.4665337202744322,0.88464196345896,0.9127372812392888,0.8986896223491244,0.014047658890164459,29.07,0.34,252.0,3.2661956938560905,3.265559315859104,3.265229022545173,3.265661344086789,0.00040118214921322807,34.843887727073394,34.823524988098605,34.812959434357616,34.82679071650987,0.012835849773718629,31.94,1.86,1713.25,1688.5,25.0,503.457861320091,1738.0,bdg,2
37,51,1900-01-01 11:51:37,1900-01-01 11:51:37,2214.0,2144.0,2179.0,35.0,3.08646697729437,3.12047900036941,3.10347298883189,0.0170060115375199,29.40254370406535,30.38531849126893,29.893931097667128,0.491387393601789,0.8853312986999002,0.914923339696141,0.9001273191980206,0.0147960204981204,28.42,0.3,253.0,3.2593862501512487,3.2588292378009034,3.2590997535232185,3.2591050804917905,0.00022743053453021787,34.626411620108264,34.60866222664465,34.61728154704006,34.61745179793098,0.007247159494400106,32.69,1.86,1708.0,1681.75,26.0,501.68679472356064,1734.25,bdg,2
38,52,1900-01-01 11:51:58,1900-01-01 11:51:58,2214.0,2155.0,2184.5,29.5,3.0862886496412743,3.1214100882305367,3.103849368935905,0.017560719294631433,29.39744760190512,30.41252570236269,29.904986652133907,0.5075390502287878,0.8851778514747475,0.915742567983805,0.9004602097292762,0.015282358254528785,28.3,0.29,248.0,3.258495777341828,3.257713053122388,3.2581450863786947,3.2581179722809708,0.0003201204790351839,34.598039295497664,34.573112868761925,34.58686980370286,34.58600732265415,0.01019442961041568,32.82,1.86,1712.125,1690.0,22.0,502.92729174429377,1734.25,bdg,2
39,53,1900-01-01 11:52:10,1900-01-01 11:52:10,2311.0,2241.0,2276.0,35.0,3.0833211286258666,3.1236064244882367,3.1034637765570516,0.02014264793118481,29.31273061665401,30.47676892146654,29.894749769060283,0.5820191524062661,0.8826269633839345,0.9176769765565572,0.9001519699702459,0.017525006586311398,28.81,0.29,263.0,3.256408587554612,3.2557834054898738,3.2560395163115743,3.2560771697853528,0.0002566144859293528,34.53159781378325,34.511712970748285,34.5198580320524,34.52105627219465,0.00816204958778426,33.32,1.95,1780.75,1754.5,26.0,526.9338365724866,1807.0,bdg,2
40,54,1900-01-01 11:52:34,1900-01-01 11:52:34,2311.0,2205.0,2258.0,53.0,3.087928404077992,3.11971303469154,3.1038207193847662,0.01589231530677382,29.444329358335533,30.362948465467802,29.903638911901666,0.4593095535661345,0.886589494178985,0.9142497624643956,0.9004196283216903,0.01383013414270523,28.62,0.23,279.0,3.251950509415236,3.2528984796577216,3.2515432285400023,3.25213073920432,0.0005677666660844765,34.389968868264035,34.420052510051896,34.37704927819128,34.39569021883573,0.01801610162951954,33.75,1.94,1767.25,1727.5,40.0,523.1321899147482,1807.0,bdg,2
41,55,1900-01-01 11:52:47,1900-01-01 11:52:47,2260.0,2140.0,2200.0,60.0,3.091555951648577,3.1192168838627166,3.1053864177556463,0.013830466107069615,29.548220592110155,30.34846424255489,29.94834241733252,0.4001218252223655,0.8897177323969766,0.9138136323114668,0.9017656823542216,0.012047949957245063,27.8,0.18,280.0,3.2494756120385673,3.2474194670632928,3.2484383955623035,3.248444491554721,0.0008394287385592907,34.311511137409546,34.24641927209875,34.278665432004445,34.278865280504235,0.02657401847641061,34.04,1.88,1723.75,1678.75,45.0,508.4802878430982,1768.75,bdg,2
42,56,1900-01-01 11:52:57,1900-01-01 11:52:57,2344.0,2237.0,2290.5,53.5,3.0872855449051144,3.117999797279601,3.1026426710923576,0.015357126187243388,29.425943617754847,30.31295311950345,29.86944836862915,0.44350475087430574,0.8860358865812993,0.9127443673864368,0.8993901269838679,0.013354240402568772,29.19,0.25,283.0,3.246739537248731,3.243808770904953,3.2461051566710943,3.2455511549415927,0.0012589774363011756,34.22491270042762,34.13231392108038,34.20485499852572,34.18736054001124,0.03977583473405141,34.65,1.97,1791.625,1751.5,40.0,531.5782793072436,1831.75,bdg,2
43,57,1900-01-01 11:53:09,1900-01-01 11:53:09,2338.0,2178.0,2258.0,80.0,3.0830378547758737,3.117991728330858,3.100514791553365,0.01747693677749207,29.30465221658212,30.31271778302375,29.808684999802928,0.5040327832208114,0.882383717068274,0.9127372812392888,0.8975604991537814,0.015176782085507434,29.85,0.38,306.0,3.2430084778015935,3.2399272950301516,3.242132274015679,3.2416893489491407,0.0012962918340878738,34.10705739206358,34.0099343683052,34.079419481694444,34.06547041402107,0.04085872246909408,35.04,1.95,1767.25,1707.25,60.0,525.0402728600922,1827.25,bdg,2
44,58,1900-01-01 11:53:22,1900-01-01 11:53:22,2338.0,2206.0,2272.0,66.0,3.079123585381295,3.1173744316713483,3.0982490085263215,0.019125423145026632,29.19317703767805,30.29471750906577,29.743947273371912,0.5507702356938591,0.8790271209211762,0.9121952803130912,0.8956112006171337,0.016584079695957543,30.76,0.49,293.0,3.2396513475961917,3.277792647274597,3.23874808307677,3.2520640259825195,0.01819661940931807,34.00124514108359,35.21635718303752,33.972812862874925,34.39680506233201,0.5796270970924364,33.78,2.96,1777.75,1728.25,50.0,527.6239315317302,1827.25,bdg,2
45,59,1900-01-01 11:53:37,1900-01-01 11:53:37,2323.0,2176.0,2249.5,73.5,3.0795964909987377,3.114063437098796,3.096829964048766,0.01723347305002898,29.206629961017885,30.198291029474763,29.702460495246324,0.495830534228439,0.8794321979176306,0.9092918111008828,0.8943620045092566,0.014929806591626071,31.22,0.51,298.0,3.233306333193783,3.2705371925562643,3.2335999701075635,3.2458144986192035,0.017481995543767625,33.801856896398284,34.983018269938675,33.81106701137491,34.19864739257062,0.5546467112807385,34.49,2.91,1760.875,1705.75,55.0,522.2893817427748,1816.0,bdg,2
46,60,1900-01-01 11:53:49,1900-01-01 11:53:49,2222.0,2101.0,2161.5,60.5,3.0809849738870017,3.115259527363769,3.0981222506253863,0.017137276738383722,29.24615253420424,30.233101261657772,29.739626897931014,0.4934743637267669,0.8806222504314274,0.9103399717082375,0.8954811110698325,0.014858860638405138,30.37,0.51,277.0,3.2300497206829544,3.22988647006926,3.229490781913011,3.2298089908884084,0.00023467055593674965,33.699823216694796,33.69471378565012,33.682331648375374,33.692289550240105,0.007343769629682439,36.3,1.84,1694.875,1649.5,45.0,498.48761597581336,1740.25,bdg,2
47,61,1900-01-01 11:54:01,1900-01-01 11:54:01,2321.0,2202.0,2261.5,59.5,3.080246666469004,3.111309213511598,3.0957779399903007,0.01553127352129735,29.225132492591435,30.118235526254004,29.671684009422716,0.4465515168312848,0.8799893221743655,0.9068812835170156,0.8934353028456906,0.013445980671325077,31.69,0.49,286.0,3.2261812998905905,3.2262759179335307,3.2262410377967288,3.2262327518736167,3.9069475756424783e-05,33.578887899338945,33.58184240952603,33.58075323430653,33.5804945143905,0.0012199684716216695,37.05,1.94,1769.875,1725.25,45.0,524.4470571766516,1814.5,bdg,2
48,62,1900-01-01 11:54:15,1900-01-01 11:54:15,2335.0,2158.0,2246.5,88.5,3.0796605873164133,3.1131140453278605,3.0963873163221374,0.016726729005723362,29.208453650973144,30.170679579251143,29.689566615112142,0.4811129641389975,0.8794871105065809,0.9084604108883192,0.8939737606974499,0.0144866501908692,31.38,0.52,313.0,3.22308826369875,3.2693868090009723,3.2223420397737743,3.2382723708244985,0.022003339289219128,33.482401220476305,34.94611631826034,33.45915061496956,33.9625560512354,0.6955469055914352,35.42,3.42,1758.625,1692.25,66.0,522.7864138740122,1825.0,bdg,2
49,63,1900-01-01 11:54:24,1900-01-01 11:54:24,2326.0,2174.0,2250.0,76.0,3.0791582904883907,3.1109474370068164,3.095052863747604,0.01589457325921284,29.19416416637897,30.10773049222345,29.65094732930121,0.456783162922239,0.8790568440615807,0.9065649695438178,0.8928109068026993,0.013754062741118568,31.92,0.54,301.0,3.2192082187450413,3.2632777395795647,3.219429176700192,3.2339717116749327,0.020722687394331755,33.36162554123546,34.75058462286262,33.368495574515855,33.82690191287132,0.653148329703638,35.98,3.32,1761.25,1704.25,57.0,522.6333113426658,1818.25,bdg,2
50,64,1900-01-01 11:54:54,1900-01-01 11:54:54,2326.0,2166.0,2246.0,80.0,3.0768983565336456,3.1095773710297268,3.0932378637816864,0.016339507248040785,29.129930568999782,30.06796953741464,29.59895005320721,0.4690194842074291,0.8771227252057342,0.9053677391914804,0.8912452321986073,0.01412250699287304,32.6,0.62,305.0,3.215297451859516,3.2678480629570887,3.214599495243577,3.2325816700200605,0.024938733447538983,33.240187816432716,34.89679707568839,33.21854580020503,33.78517689744205,0.7860838206917137,36.15,3.79,1758.25,1698.25,60.0,521.933418287237,1818.25,bdg,2
