exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
31,322,1900-01-01 17:56:36,1900-01-01 17:56:41,1666.0,1198.0,1432.0,234.0,3.110531167522701,3.1101604645495127,3.111156290156252,3.1113157609599496,3.1104338795162128,3.110359252799927,3.1106594692507588,0.0004250563669793532,30.09564614869511,30.08488732774913,30.11379473788143,30.11842566936708,30.09282233467385,30.09065639121871,30.099372101597552,0.012339674055385129,0.9062011014493576,0.9058771457733978,0.9067475682515368,0.9068870088600652,0.9061160744204076,0.9060508563375318,0.906313292515383,0.0003715562764550041,22.83,0.12,377.0,3.3305882302417253,3.363366968931885,3.3335654430720805,3.330340906492937,3.339465387184657,0.013857804784975671,36.94560893587396,38.047205507246076,37.04477456709042,36.937378995078404,37.24374200132222,0.4658012616837168,22.33,1.8,1147.75,972.25,176.0,353.47894297256244,1323.25,rw,1
35,326,1900-01-01 17:58:14,1900-01-01 17:58:18,1433.0,1509.0,1471.0,-38.0,3.1129520924265734,3.1129389119295183,3.1138880930814428,3.1142018404853515,3.1134702725114285,3.1134802277896028,3.11348857303732,0.00045802293421853244,30.165971134751892,30.16558796071153,30.19319017816508,30.202317663734668,30.181037869307996,30.181327380588325,30.181572031209914,0.013320324510432477,0.9083186363083602,0.908307098668141,0.9091382208754952,0.9094130558943464,0.9087723062971196,0.908781023685669,0.9087883902881884,0.00040108435231383214,21.96,0.04,185.0,3.3349415441176435,3.3570713990845378,3.335073712303005,3.3327161244612644,3.3399506949916127,0.009928923305414923,37.09066993075936,37.83395422936613,37.09507996382049,37.01646721720086,37.25904283528672,0.3333913990081704,22.4,1.47,1177.0,1205.5,28.0,317.92025729732916,1148.5,rw,1
36,327,1900-01-01 17:58:37,1900-01-01 17:58:42,1534.0,1640.0,1587.0,-53.0,3.1143106137535037,3.1145032776360964,3.115028533025849,3.1152331270299225,3.1148069600147354,3.1147394422041335,3.1147703256107064,0.00030708351188219265,30.20548250633037,30.211088754019872,30.226376469717327,30.23233263497147,30.219926891995907,30.21796175666137,30.21886150228272,0.008937784001416697,0.9095083515338545,0.9096771596001816,0.9101374834867408,0.9103168278173808,0.9099432821592078,0.9098841105502696,0.9099112025246058,0.00026912297102983456,21.95,0.03,212.0,3.3371315574109626,3.354464268501727,3.3356694756987113,3.333619524641698,3.3402212065632746,0.008317319329628751,37.16378882614789,37.745876142170616,37.11496303757744,37.046577566393964,37.267801393072475,0.2791386860523845,22.7,1.49,1264.0,1303.75,40.0,349.1503401115342,1224.25,rw,1
37,328,1900-01-01 17:58:57,1900-01-01 17:59:02,1635.0,1818.0,1726.5,-91.5,3.1149860708186394,3.1151880964005114,3.1159381086773967,3.115988575169049,3.1155042573668505,3.1154600617202908,3.115510861692123,0.000363537549888449,30.22514040287071,30.23102163072269,30.25286213858679,30.2543321105399,30.24022701939807,30.238940100187666,30.24042056705097,0.010585968770274573,0.9101002646434456,0.9102773525561292,0.9109349856298596,0.9109792475206469,0.9105545332923622,0.9105157832485792,0.9105603611485038,0.0003187509752120118,22.23,0.02,264.0,3.338024033548122,3.3537387247532386,3.3361702209374107,3.3343495609439704,3.3405706350456854,0.007712800610623003,37.1936138407563,37.72138904742075,37.1316804593168,37.07092161895999,37.279401241613456,0.25884255890996805,23.05,1.59,1368.625,1437.25,69.0,389.3158865641755,1300.0,rw,1
38,329,1900-01-01 17:59:27,1900-01-01 17:59:27,1883.0,2003.0,1943.0,-60.0,3.119554972501825,3.1167748910723834,3.1170876729905497,3.117370804584564,3.1170715952211765,3.116723973339238,3.1174306516182893,0.0009740202601174187,30.358333626620244,30.27724182184591,30.28635809540729,30.29461176484665,30.28588945164094,30.27575795786335,30.2963654530374,0.028411869288368082,0.914110806416534,0.9116690750630368,0.9119435724804246,0.9121920962801796,0.9119294612865612,0.9116243948734588,0.9122449010666992,0.000855501394326174,22.42,0.01,254.0,3.3403305117089612,3.3524125728541483,3.3370425544154787,3.3352881409499986,3.3412684449821466,0.006683814260039574,37.27076626386221,37.67665880671258,37.16081537401825,37.10223551112393,37.30261898892924,0.2242666854220446,23.59,1.74,1531.0,1576.0,45.0,441.82418448971305,1486.0,bdg,2
39,330,1900-01-01 17:59:45,1900-01-01 17:59:45,2059.0,1952.0,2005.5,53.5,3.119554972501825,3.1172685152415744,3.1177034841841538,3.1176012202664234,3.117539808076744,3.117158796263777,3.117804466089084,0.0008051868942833575,30.358333626620244,30.29162971896722,30.304311741713487,30.301329800671297,30.299539160150974,30.28843129414086,30.30726255704401,0.023490466170283348,0.914110806416534,0.9121023047785396,0.912484169415188,0.9123943810702716,0.9123404636230834,0.9120059979544154,0.9125730205430052,0.0007073144803702142,22.55,0.02,254.0,3.3423392258989657,3.352970094428187,3.337569087459212,3.335456749956907,3.3420837894358177,0.00676160244258347,37.33804524733332,37.695459336043726,37.17840833335939,37.107862689712,37.3299439016121,0.2269087138779176,23.69,1.79,1577.875,1537.75,40.0,457.5587784987302,1618.0,bdg,2
41,332,1900-01-01 18:00:32,1900-01-01 18:00:32,2098.0,2135.0,2116.5,-18.5,3.119554972501825,3.1184485228614336,3.1187187173713213,3.1189487267293248,3.1187552102204616,3.118399898741917,3.1188043414043807,0.0003838880517168965,30.358333626620244,30.326042429373558,30.333925811207944,30.34063779970256,30.334990656516318,30.32462388347616,30.336425701149462,0.011203444475094469,0.914110806416534,0.9131384957252304,0.9133758699044112,0.9135779726051368,0.9134079331466008,0.9130957823091992,0.9134511433511854,0.0003373436035629675,22.65,0.03,230.0,3.3437560144644625,3.356328302067225,3.3395609544878093,3.336726353178373,3.3440929060494677,0.007493715663995597,37.38554719646726,37.808835839721276,37.24501248303282,37.150252863437466,37.39741209566471,0.2518549190565861,23.83,1.91,1661.125,1675.0,14.0,484.9286063754643,1647.25,bdg,2
42,333,1900-01-01 18:01:04,1900-01-01 18:01:04,2254.0,2261.0,2257.5,-3.5,3.119554972501825,3.1189332083881918,3.1194372958867653,3.1195259918992098,3.1194783078829884,3.1190964179098724,3.1193376990781414,0.0002360019801510109,30.358333626620244,30.340184922083026,30.35489820277441,30.357487549563746,30.356095468069032,30.344948152839,30.351991320324913,0.00688869396125576,0.914110806416534,0.9135643361410576,0.9140073633850184,0.9140853304404832,0.9140434138862552,0.9137077603737922,0.91391983510719,0.0002074234267772757,23.05,0.05,229.0,3.3470885211984247,3.3554773880190254,3.3430352175065594,3.3375947472954053,3.345798968504853,0.006524613315667313,37.49743795369178,37.78008664334601,37.361375354914635,37.17926584298144,37.454541448733465,0.219246644234616,24.07,2.01,1766.875,1769.5,3.0,521.4790151878118,1764.25,bdg,2
43,334,1900-01-01 18:01:27,1900-01-01 18:01:27,2204.0,2858.0,2531.0,-327.0,3.119554972501825,3.119315691143399,3.1200484243276443,3.119809709288018,3.119878618261516,3.11931697941705,3.1196540658232417,0.0002793180598065458,30.358333626620244,30.351348374366253,30.37274216727359,30.36577124120376,30.36778340271873,30.351385979593573,30.361227465296025,0.008155163572177649,0.914110806416534,0.9139004755515578,0.9145446577233248,0.9143347582298438,0.9143953458301948,0.913901607871437,0.9141979419371484,0.00024555771871764625,24.09,0.18,580.0,3.3566678940265278,3.3575230587933715,3.344535343761272,3.3386516607059784,3.3493444893217874,0.008030966938983865,37.82031344974611,37.849226801660734,37.411693640695965,37.21459761261245,37.57395787617881,0.2701543684224662,24.52,2.47,1972.0,2217.25,245.0,641.3999064546236,1726.75,bdg,2
50,341,1900-01-01 18:03:48,1900-01-01 18:03:49,3730.0,2042.0,2886.0,844.0,3.119554972501825,3.1187826864957837,3.1196233698836817,3.119349964054343,3.1194050655413967,3.1189425284657712,3.1192764311571337,0.0003096181654822383,30.358333626620244,30.335792418606072,30.36033052305201,30.352348825034518,30.35395732275196,30.34045691289209,30.350203271492816,0.009037186014788626,0.914110806416534,0.9134320747677922,0.9141709343744784,0.9139305998257816,0.9139790328248946,0.9135725259758776,0.9138659956975596,0.00027211603565987347,25.75,0.49,1133.0,3.3499772045868332,3.365419353259241,3.3511802489741966,3.340742723512522,3.351829882583198,0.0088240190545135,37.59460754064947,38.116899194278346,37.635125033508636,37.28456610707351,37.65779946887749,0.2977343824783741,25.29,3.53,2238.25,1605.25,633.0,932.9344527484233,2871.25,bdg,2
