,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
11,303.0,1900-01-01 17:25:16,1900-01-01 17:25:14,1351.0,1339.0,1345.0,6.0,3.114645977282636,3.114022532959838,3.115201437812138,3.1150100540826298,3.1151757812796395,3.1144735826824212,3.114754894349883,0.0004220990697207696,30.215241559938864,30.197101054807515,30.231410043446086,30.22583854702241,30.23066309967852,30.210224627466488,30.21841315539331,0.012284362102598749,0.9098022035111614,0.9092559801255706,0.910289047936784,0.9101212862555459,0.9102665569338816,0.9096511401410678,0.909897702484002,0.0003698907946012348,21.01,0.04,140.0,3.34774880844737,3.380831962134871,3.3579456173538627,3.3455838379139102,3.3580275564625035,0.013969130468309813,37.519633929020344,38.64299302372918,37.86351905888362,37.44688977684051,37.868258947118406,0.4741641954289148,20.49,1.57,1082.5,1078.0,4.0,283.97237981888316,1087.0,rw,1
13,305.0,1900-01-01 17:26:47,1900-01-01 17:26:45,1450.0,1511.0,1480.5,-30.5,3.117319964849976,3.1167258632622565,3.117991728330858,3.1176312935889685,3.1179344161127363,3.117315884476806,3.1174865251036,0.00043055420675534525,30.293129607284694,30.27581303385377,30.31271778302375,30.302206696454874,30.31104626753076,30.29301065211211,30.297987340043324,0.012552485486654623,0.9121474674721276,0.9116260532503196,0.9127372812392888,0.9124207850198996,0.9126869507305716,0.9121438856481026,0.9122937372267184,0.00037796417853051004,20.57,0.02,179.0,3.351345289552759,3.378586093389063,3.3590163669775177,3.350030310429625,3.3597445150872414,0.01140666509417333,37.64068572698223,38.566033164312955,37.8997512816784,37.596395485622594,37.925716414649045,0.38741918358446575,20.73,1.51,1184.125,1207.0,23.0,319.9822819801903,1161.25,rw,1
14,306.0,1900-01-01 17:27:09,1900-01-01 17:27:07,1545.0,1645.0,1595.0,-50.0,3.1191147507352963,3.1212925564167264,3.119933487667916,3.119417661389892,3.1195703027325967,3.1192684367834773,3.119766199287651,0.0007291271426659927,30.345483223095464,30.409090423479988,30.369385668470997,30.3543250230507,30.358781192909213,30.349969022012893,30.364505758836547,0.021296312118562002,0.9137238717160562,0.9156391293172316,0.9144435911804474,0.9139901045398554,0.9141242829527088,0.9138589422807408,0.9142966536645069,0.0006412469565631171,20.21,0.01,210.0,3.3535256958648474,3.375409308729002,3.3598894335883145,3.3525859247787086,3.3603525907402183,0.009135738406638887,37.714201336195906,38.45734791807049,37.92931137154188,37.68250384419925,37.945841117501885,0.3102079735126834,21.0,1.5,1270.0,1307.5,38.0,350.99572646971075,1232.5,rw,1
15,307.0,1900-01-01 17:27:24,1900-01-01 17:27:21,1678.0,1816.0,1747.0,-69.0,3.1204099562581162,3.1212925564167264,3.1217234308580006,3.1213257023637118,3.1212377513953307,3.120987744450641,3.121162856957087,0.00040014928547141916,30.3833016077462,30.409090423479988,30.42168550235364,30.410059203673875,30.40748864323131,30.400182431686613,30.405301302028604,0.011693380843912079,0.9148626099128108,0.9156391293172316,0.9160183760126421,0.9156682999711666,0.9155908985858338,0.915370903410568,0.9155250362017088,0.00035209593268291947,20.33,0.01,244.0,3.3558312745952312,3.3729333911202435,3.36074321425942,3.3555350037910117,3.361260720941477,0.007049499393257339,37.792041373542425,38.37278270844251,37.958233343383725,37.78203280418877,37.97627255738936,0.2393824993369421,21.35,1.56,1384.0,1435.75,52.0,391.95351765228486,1332.25,wd,0
16,308.0,1900-01-01 17:27:48,1900-01-01 17:27:45,1878.0,1886.0,1882.0,-4.0,3.1216191992181352,3.1212925564167264,3.12287860627047,3.122718735231957,3.1231558490795512,3.1222164371911605,3.1223135639013333,0.0006741554225162883,30.418638342957443,30.409090423479988,30.455470098952198,30.450792973460484,30.463582143098996,30.43610105134753,30.43894583888277,0.019715418203905363,0.9159266238971541,0.9156391293172316,0.9170356540102096,0.9168948224676244,0.9172799133726602,0.9164524383455032,0.9165380969017304,0.0005936451273928862,20.47,0.02,192.0,3.359741883869068,3.3721416128482664,3.361829312024933,3.3581387896460675,3.362962899597084,0.005458497432233191,37.924314587936756,38.34576562826347,37.995046340767075,37.87005395048544,38.03379512686319,0.1854886946777729,21.58,1.63,1485.25,1488.25,3.0,423.64990041896624,1482.25,wd,0
17,309.0,1900-01-01 17:28:04,1900-01-01 17:28:00,2207.0,2073.0,2140.0,67.0,3.1225929469362104,3.1212925564167264,3.1236936630711543,3.1235409962503202,3.1231558490795512,3.123254579952333,3.1229217652843833,0.0008069775966846908,30.44711329617979,30.409090423479988,30.479322531647547,30.47485382790227,30.463582143098996,30.466471327578066,30.456738924981106,0.023603498037186085,0.9167840247931612,0.9156391293172316,0.9177538675575768,0.9176193117405655,0.9172799133726602,0.9173669087521344,0.9170738592555551,0.0007107179494892482,21.32,0.07,281.0,3.3602740398192017,3.3717810712139378,3.362830628833576,3.3602124166051586,3.3637745391179683,0.0047417753786344816,37.94233815683523,38.333467419748956,38.02900679011161,37.940250750344205,38.06126577926,0.161185290942487,22.23,1.87,1678.75,1628.5,50.0,493.38988449805083,1729.0,rw,1
19,312.0,1900-01-01 17:31:28,1900-01-01 17:31:25,2208.0,2140.0,2174.0,34.0,3.1227211061876137,3.1212925564167264,3.1235216667250847,3.123637059049404,3.1231558490795512,3.1231942877557737,3.122920420869025,0.0007847680540832327,30.450862333727088,30.409090423479988,30.47428806538004,30.477665626881514,30.463582143098996,30.464706961301374,30.456699258978162,0.02295329677808847,0.9168969109541012,0.9156391293172316,0.9176022762325632,0.9177039769881384,0.9172799133726602,0.9173137824409268,0.91707266488427,0.0006911399316508537,21.46,0.06,251.0,3.3591615636958765,3.3718524130122836,3.3627106354937206,3.362116301432302,3.3639602284085464,0.004750666005693432,37.90466625390588,38.33590070617147,38.024936054577616,38.004777745044755,38.067570189924936,0.1614771802380106,22.31,1.89,1704.25,1678.75,26.0,500.38559444192634,1729.75,bdg,2
22,315.0,1900-01-01 17:34:24,1900-01-01 17:34:24,2295.0,2198.0,2246.5,48.5,3.122644969794155,3.1212925564167264,3.123305314310311,3.123437259931953,3.1231558490795512,3.123076341903805,3.1228187152394167,0.000725575076364942,30.44863508169491,30.409090423479988,30.46795604993895,30.471817615969854,30.463582143098996,30.46125563891155,30.453722825515708,0.021220634567132437,0.916829846826792,0.9156391293172316,0.9174116147880884,0.917527889260922,0.9172799133726602,0.9172098606930544,0.916983042376458,0.0006389682521909187,21.8,0.08,273.0,3.366794375042947,3.3722248580881917,3.3627968088804536,3.36394933928245,3.3664413453235102,0.003642334068818129,38.16363897151174,38.348605527912824,38.027859429657674,38.066972664478534,38.15176914839019,0.12392489165283235,22.31,1.95,1758.625,1722.25,36.0,519.8515504749888,1795.0,bdg,2
25,318.0,1900-01-01 17:35:39,1900-01-01 17:35:39,2261.0,2929.0,2595.0,-334.0,3.1237268266826135,3.1240605961447057,3.1244058488278097,3.124260094259456,3.1231558490795512,3.124150351318036,3.123959927718696,0.00041557578889174886,30.48029331999995,30.4900648000942,30.50017466168889,30.495906331044655,30.463582143098996,30.492692840996753,30.48711901615391,0.01216543238658287,0.9177830986785795,0.918077324826124,0.918381739878964,0.9182532174371448,0.9172799133726602,0.9181564569885896,0.9179886251970104,0.00036630973709157033,22.88,0.25,594.0,3.362188625756292,3.3735520122858462,3.3561443500354664,3.3660127168769867,3.3644744262386475,0.00631236801700123,38.007230422532025,38.39390014556221,37.802619554812395,38.13706414260319,38.08520356637745,0.2144275122973812,23.44,2.49,2020.0,2270.5,250.0,658.7328745402039,1769.5,bdg,2
26,320.0,1900-01-01 17:35:56,1900-01-01 17:35:57,2361.0,3709.0,3035.0,-674.0,3.1233732226817263,3.1236475841175664,3.123881511569276,3.1237192337223774,3.1231558490795512,3.1237986808463285,3.1235960136694705,0.000252918438224435,30.469943438990235,30.477973710614947,30.484821636135344,30.480071051755523,30.463582143098996,30.48239675588335,30.476464789413058,0.007402676002761293,0.9174714564721109,0.9177132536063308,0.9179194494666412,0.9177764060251996,0.9172799133726602,0.9178464346144468,0.9176678189262316,0.000222899788036816,24.93,0.57,978.0,3.363432914058723,3.3755074334033086,3.3618404082966453,3.3699478123476583,3.367682142026584,0.0054440389057388155,38.04944351190988,38.460701933032006,37.99542256874627,38.270974957688296,38.19413574284412,0.18532712021040545,24.4,3.3,2350.0,2855.5,506.0,883.4511871065655,1844.5,bdg,2
