,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
4,664.0,1900-01-01 07:26:20,1900-01-01 07:26:35,1001.0,1150.0,1075.5,-74.5,3.122564017313729,3.1226799569968238,3.1222081333838245,3.122807336220493,3.1207734379227903,3.12307120322582,3.1223506808439137,0.000751624560604972,30.446267061642214,30.44965856452413,30.4358582095855,30.453384990678398,30.39392046201973,30.461105277240172,30.440032427615023,0.02197584496726155,0.9167585440752444,0.9168606646156036,0.9164451262090184,0.9169728699315746,0.9151823510936866,0.917205333197232,0.9165708148537264,0.000661708169222246,17.31,0.04,182.0,3.3578751061264733,3.3756367692684104,3.3597659332195406,3.349317281846916,3.360648772615336,0.009506778606572876,37.86113389773572,38.465123080537545,37.92512899126872,37.57239427060878,37.95594506003769,0.32261131847128394,19.53,1.13,880.375,936.25,56.0,221.26989635115302,824.5,rw,1
5,666.0,1900-01-01 07:27:04,1900-01-01 07:27:10,1179.0,1346.0,1262.5,-83.5,3.1244365361437976,3.1226799569968238,3.1247052993090594,3.125344563951537,3.1247681838594903,3.1249752540262667,3.124484965714496,0.0008532734089492912,30.501073371141896,30.44965856452413,30.50894512987417,30.527673885099066,30.510787140296568,30.516853151041676,30.502498540329587,0.024980680500010767,0.9184088006535418,0.9168606646156036,0.9186458248529319,0.919209760863135,0.9187012890840509,0.9188839409397864,0.9184517135015084,0.0007521858833739117,17.28,0.01,210.0,3.3597174015694775,3.373779509277201,3.3613396410832976,3.3504582173833954,3.3613236923283427,0.008303408125696762,37.923485535261406,38.40166799893957,37.978446128279536,37.61080414398154,37.978600951615526,0.28164603287077616,19.99,1.21,1020.625,1083.25,63.0,269.98012803028666,958.0,rw,1
6,667.0,1900-01-01 07:27:26,1900-01-01 07:27:33,1376.0,1569.0,1472.5,-96.5,3.1250767793631278,3.1226799569968238,3.125799712223874,3.125344563951537,3.12568319635966,3.125771008856141,3.1250592029585267,0.0010944511977249679,30.519827575670856,30.44965856452413,30.54101319025439,30.527673885099066,30.53759801951767,30.54017184855299,30.519323847269845,0.0320474664158188,0.9189735029602136,0.9168606646156036,0.9196114167360342,0.919209760863135,0.9195085835398984,0.9195860833448608,0.9189583353432909,0.000964971784330218,17.9,0.01,244.0,3.3612115818545085,3.373865633021236,3.3631437265373543,3.3517122731094195,3.362483303630629,0.007868067671555288,37.97410562203283,38.40460895567085,38.039629897224586,37.65305242531753,38.017849225061454,0.2669492905077006,20.48,1.36,1178.125,1250.5,72.0,325.14677575096766,1105.75,rw,1
7,668.0,1900-01-01 07:27:56,1900-01-01 07:28:03,1562.0,1655.0,1608.5,-46.5,3.1261817081662406,3.126280121402834,3.127105880665132,3.125344563951537,3.1281651336367866,3.127305046565588,3.1267304090646864,0.0009086638643252973,30.55221157465353,30.55509704673521,30.579315432575694,30.527673885099066,30.61040060063881,30.585158609970374,30.568309524945448,0.026650982257538324,0.9199486079771466,0.9200354915737206,0.9207647242280236,0.919209760863135,0.9217007205312218,0.9209406664146396,0.9204333285979812,0.000802479845661527,17.86,0.03,207.0,3.3616581374471437,3.3734684940651576,3.363998920988873,3.351957049444871,3.362770650486511,0.00765055812360581,37.98924284428027,38.391048690333726,38.06865591213646,37.6613024616082,38.02756247708966,0.25953115941134364,20.84,1.45,1280.125,1315.0,35.0,354.1784024771273,1245.25,wd,0
8,669.0,1900-01-01 07:28:33,1900-01-01 07:28:41,1675.0,1857.0,1766.0,-91.0,3.1265051048684933,3.1274372837013704,3.127073846768891,3.125344563951537,3.127654565083601,3.1275297042000134,3.1269241780956514,0.0008017281650291463,30.56169423517245,30.58903862621542,30.57837568385559,30.527673885099066,30.59541466810005,30.59175056332968,30.573991276962047,0.023510698661335285,0.9202341375638671,0.9210574964364152,0.9207364277322104,0.919209760863135,0.9212494835481122,0.921139154772902,0.9206044101527736,0.0007079236949252261,18.43,0.05,268.0,3.36223588931152,3.3730257628929885,3.3659422222931883,3.3519227402074616,3.3632816536762897,0.007618149842499943,38.00883329103789,38.37593544698708,38.13466807308172,37.66014601718848,38.04489570707379,0.2583501542566345,21.23,1.6,1398.25,1466.5,68.0,399.26819698668714,1330.0,wd,0
9,670.0,1900-01-01 07:29:09,1900-01-01 07:29:25,1732.0,1951.0,1841.5,-109.5,3.125845119272096,3.126795916676159,3.1275944537515383,3.127721166628226,3.1275937192504024,3.128316656055464,3.1273111719389814,0.0007909881931453937,30.54234417515252,30.57022311450838,30.593650634624662,30.597369243221664,30.59362908029635,30.614848946303116,30.585344199017786,0.023203509719870667,0.9196514936287098,0.9204909481274336,0.9211963672577858,0.9213083371816018,0.9211957182417801,0.9218346633520768,0.9209462546315644,0.0006986740195492107,18.6,0.07,294.0,3.3628817292002147,3.373586183133088,3.3657741198036524,3.352876297093813,3.3637795823076924,0.007413423099844905,38.030740441848046,38.39506683756605,38.12895477314957,37.69229590070576,38.061764488317365,0.2515325620479242,21.4,1.67,1454.875,1537.0,82.0,421.15258907105164,1372.75,wd,0
12,672.0,1900-01-01 07:31:14,1900-01-01 07:31:20,1788.0,1978.0,1883.0,-95.0,3.127853010360161,3.12905140721832,3.129279116156531,3.1296613094821297,3.1290290264970264,3.1292502085082208,3.1290206797037308,0.0005618933662510294,30.601238745506482,30.63642564266532,30.643114598581448,30.65434372569637,30.63576826094455,30.642265381719607,30.63552605918564,0.016500488693517883,0.9214248506206302,0.9224843528756864,0.9226857620492523,0.9230238789751888,0.92246455864909,0.9226601915314518,0.92245726578355,0.0004968413356084894,18.19,0.08,283.0,3.3680464879042726,3.375952360910996,3.368006452921295,3.356728297461647,3.3671833997995533,0.006848835327773082,38.20623404986323,38.47591251715619,38.204871627087606,37.822355222746594,38.177343354213406,0.2327834812895985,21.24,1.68,1486.0,1557.25,71.0,429.80456023639397,1414.75,wd,0
13,673.0,1900-01-01 07:31:48,1900-01-01 07:31:56,1789.0,1988.0,1888.5,-99.5,3.131175523151558,3.1340610395636,3.1326559398206584,3.132527126407308,3.1319435949366263,3.1331996473458874,3.13259381187094,0.0009094343948487807,30.698859425530337,30.783808722754284,30.74242318643541,30.7386309982328,30.72145609434635,30.758433040414015,30.740601911285534,0.02677367079805779,0.9243642780489292,0.9269221612168576,0.9256760135710842,0.9255618281135222,0.925044679661474,0.9261580815498798,0.9256211736936244,0.0008061740840242343,17.02,0.1,288.0,3.3673280875530525,3.375997833789436,3.3717579265262443,3.357353107898948,3.3681092389419196,0.00692544948473001,38.18179122998271,38.47746730869865,38.332678035720576,37.84347954312461,38.208854029381634,0.23543384882497295,21.18,1.69,1490.125,1564.75,75.0,431.89392885435416,1415.5,wd,0
14,674.0,1900-01-01 07:32:14,1900-01-01 07:32:24,1908.0,2059.0,1983.5,-75.5,3.1310463469326497,3.131402262666585,3.133696005464566,3.1325563284013582,3.1325544927575724,3.132679347949052,3.1323224640286305,0.0008753815810013206,30.695060150504485,30.705528948050226,30.77305350998209,30.739490659762787,30.739436620777358,30.743112340923,30.73261370499999,0.025765925120927142,0.9242498792021282,0.9245651020692474,0.926598314185552,0.9255877131276368,0.9255860859757268,0.9256967644980666,0.9253806431763932,0.0007758301519456947,17.5,0.11,274.0,3.3730373077777074,3.3778107389257146,3.3634597393600427,3.358592528399448,3.368225078615728,0.007591721066016531,38.37632949728343,38.53948760649745,38.0503539173979,37.88540659130821,38.21289440312175,0.2583804495703018,21.44,1.79,1561.375,1618.0,57.0,453.6710642428609,1504.75,wd,0
16,677.0,1900-01-01 07:33:47,1900-01-01 07:33:55,1921.0,2179.0,2050.0,-129.0,3.133598520876625,3.1339468665510237,3.135917711066553,3.133260392378346,3.1364483240772456,3.136148693842061,3.1348867514653085,0.0013090614236581474,30.77018168854711,30.780444507349294,30.83855170914493,30.76022206612069,30.85420847107929,30.845366650997764,30.808162515539852,0.038594038167166486,0.926511841619564,0.9268208623216472,0.9285705110917444,0.926211950373892,0.9290419472204104,0.9287757137905944,0.9276554710696422,0.001162093670415574,16.93,0.16,334.0,3.3677212907700715,3.3754754448247457,3.3638635086691973,3.357027006589632,3.366021812713412,0.006667537013642522,38.19516826594192,38.45960850496186,38.06405892121305,37.83245334849892,38.13782226015394,0.22667496228327635,21.8,1.85,1611.25,1708.0,97.0,477.3592233580493,1514.5,bdg,2
