,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_321,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_321,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_321_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
60,345.0,1900-01-01 18:37:41,1900-01-01 18:37:45,1375.0,1312.0,1343.5,31.5,3.1104713530301438,3.1103083615727387,3.111191261334908,3.111442063755037,3.1108148874502057,3.111120321937082,3.1108913748466858,0.00040161757838174137,30.093909993913694,30.089179399092775,30.11481023819891,30.1220937597158,30.103882214770245,30.11275030911029,30.106104319133614,0.011659878883248752,0.9061488246061412,0.9060063830643964,0.9067781456812976,0.9069974576438462,0.9064490951994176,0.9067161197656619,0.9065160043267936,0.00035108716505244234,22.4,0.06,166.0,3.3169274832044704,3.3407431233381173,3.3231074322601395,3.319610765905689,3.3250972011771043,0.009295150944863656,36.492862469593405,37.28457949391008,36.697218289145376,36.58149862726932,36.76403971997955,0.30914604619710284,23.4,1.37,1081.375,1057.75,24.0,284.5685058667772,1105.0,rw,1
61,346.0,1900-01-01 18:38:03,1900-01-01 18:38:08,1509.0,1592.0,1550.5,-41.5,3.1111738093943746,3.111203182261536,3.111962217642665,3.1121472848343896,3.111531706912237,3.1115960710289188,3.1116023786790197,0.0003592748470787624,30.11430346228715,30.115156405748852,30.13720322662104,30.142580289904924,30.124697360227305,30.126566847502986,30.126751265382037,0.010435856610973224,0.90676288630168,0.9067885690300272,0.907452414333734,0.9076143214961968,0.9070758538889244,0.907132145467447,0.9071376984196684,0.00031423099237369665,22.95,0.05,197.0,3.3178136772407423,3.3385625195802104,3.3238056370840003,3.3206133400758624,3.325198793495204,0.008001505870991188,36.52212002647622,37.21161683214322,36.72035406712183,36.614653186000325,36.7671860279354,0.2660054441277625,23.96,1.46,1236.625,1267.75,31.0,338.77858481794567,1205.5,rw,1
62,347.0,1900-01-01 18:38:22,1900-01-01 18:38:27,1629.0,1640.0,1634.5,-5.5,3.1122885474647117,3.1125216618197658,3.1131417509192776,3.1132529572774046,3.113073887953976,3.1128214633914397,3.112850044804429,0.00034676318004608366,30.14668505719026,30.15345963929741,30.17148511089716,30.17471854622097,30.1695120412676,30.162173723583134,30.163005686409427,0.01007973622230297,0.9077379189300844,0.9079419063685671,0.908484666013505,0.9085820270283648,0.9084252554973554,0.9082042935836092,0.9082293445702476,0.0003035079566605941,22.82,0.03,169.0,3.3191019900309944,3.3374222307881887,3.324649585413648,3.3222170975542893,3.32584772594678,0.006965829430706853,36.56468135599089,37.17350087805213,36.74833219300732,36.667730177740175,36.788561151197634,0.2315811138868937,24.14,1.48,1299.625,1303.75,4.0,359.2318430084532,1295.5,bdg,2
63,348.0,1900-01-01 18:38:49,1900-01-01 18:38:49,2106.0,1959.0,2032.5,73.5,3.1132904612734764,3.1136095867187965,3.114152716282182,3.11426178989356,3.1140986926325183,3.1138535542748995,3.113877800179239,0.0003389478216332998,30.17580906424905,30.18508945979324,30.200888429412498,30.20406191091416,30.199316701182546,30.192185493517112,30.192891843178106,0.009858938898924237,0.9086148632942258,0.9088943025401044,0.9093700206423178,0.9094655764053682,0.9093226947983692,0.9091079691131608,0.9091292377989244,0.00029685959374934246,24.05,0.0,277.0,3.3211923908709053,3.3349579064321344,3.325883905227904,3.3234162041243787,3.3263626016638304,0.005232608155632621,36.63381119018979,37.09121587032893,36.78927729324863,36.707448582578465,36.80543823408645,0.17391653701162368,25.19,1.79,1598.125,1543.0,55.0,466.09728145661836,1653.25,bdg,2
67,352.0,1900-01-01 18:40:47,1900-01-01 18:40:47,2148.0,2047.0,2097.5,50.5,3.1141067080003237,3.1142734560223464,3.1146816896320564,3.1149651634125872,3.1145084079908534,3.1143131939926434,3.1144747698418014,0.00028476209574126917,30.19954989153172,30.204401348462977,30.21628091045711,30.224531804603238,30.211238049600297,30.20555758307361,30.21025993128816,0.008286890214290538,0.9093297163240154,0.909475797109024,0.9098334990872644,0.9100819393209856,0.9096816549952548,0.9095106121474688,0.9096522031640024,0.0002495241006847678,24.1,0.01,260.0,3.3245998371500587,3.3335044637274343,3.3282781239618244,3.324453430242774,3.3277089637705237,0.0036802489714113967,36.74668257101208,37.0427416763682,36.86878548021805,36.74182809393656,36.85000945538372,0.12234980599974407,25.25,1.81,1646.875,1609.0,38.0,481.2783636122135,1684.75,bdg,2
72,357.0,1900-01-01 18:42:54,1900-01-01 18:42:54,2270.0,2092.0,2181.0,89.0,3.114155562201025,3.114789539838249,3.114987390392735,3.1149351984891185,3.114858034676858,3.1145533905960807,3.1147131860323447,0.0002851220541041081,30.200971228199702,30.219419862004234,30.22517881491652,30.22365956332032,30.22141349891977,30.212547084264212,30.21719834193745,0.008297504129973867,0.9093725137721144,0.909928015129065,0.910101421257198,0.9100556755216505,0.9099880449406804,0.9097210709509186,0.9098611235952712,0.00024984369316122164,24.36,0.02,307.0,3.333625805290436,3.3366956371992518,3.3316561498073023,3.3282312567018697,3.3325522122497144,0.003073847632718605,37.04678695769727,37.14922692145163,36.981159044230644,36.86722799503468,37.011100229603564,0.10240632307663601,25.04,1.89,1709.5,1642.75,67.0,505.98928101294786,1776.25,bdg,2
74,359.0,1900-01-01 18:43:38,1900-01-01 18:43:38,2084.0,2376.0,2230.0,-146.0,3.1146981244348635,3.1154538208375,3.1150822239077938,3.1148833435291583,3.1151982009130164,3.1147745186865623,3.1150150387181488,0.0002601986929722052,30.216759226980077,30.23875837681539,30.227939449413082,30.222150170219173,30.23131580627566,30.218982662352623,30.22598428200933,0.007574629364119374,0.9098479015346423,0.9105103114298548,0.910184545906163,0.9100102266323316,0.9102862103892126,0.9099148507396416,0.9101256744386412,0.0002280774248514836,24.46,0.03,369.0,3.3316548032496156,3.338858490823324,3.3344006984430936,3.3313329761636394,3.3340617421699177,0.003015095681821978,36.981114204149655,37.22151439569145,37.07262726792784,36.97039847099769,37.06141358469166,0.1006103347209774,25.04,1.97,1746.25,1855.75,110.0,525.9353126811319,1636.75,bdg,2
116,401.0,1900-01-01 18:57:15,1900-01-01 18:57:15,2307.0,3489.0,2898.0,-591.0,3.119554972501825,3.122220765108508,3.12239929107781,3.1227991626812814,3.121222981974702,3.1222227934667184,3.121736661135141,0.0010849194171240052,30.358333626620244,30.436227620195304,30.441448872769502,30.453145868063988,30.40705698864357,30.436286939138718,30.422083319238553,0.031705742358429566,0.914110806416534,0.91645624942265,0.9166134650149091,0.9169656697812444,0.9155779011621892,0.9164580355578138,0.9160303545592234,0.0009546822322910502,24.96,0.44,881.0,3.3575499066882317,3.3773341126123344,3.326469008757805,3.33505837284194,3.3491028502250777,0.019861363645284628,37.8501347747435,38.52317555396814,36.808697083931754,37.09456811673697,37.569143882345095,0.669446376230077,25.55,3.48,2247.25,2690.5,443.0,818.6732486926637,1804.0,bdg,2
