,dt_xrd,dt_temp,temp_us,temp_ds,exp_t,temp,t_err,w_a_200,w_a_110,w_a_mean,w_a_std,w_v_200,w_v_110,w_v_mean,w_v_std,w_v_200_jbar,w_v_110_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
6,2019-07-01 12:04:43.787,2019-07-01 12:04:57.965,1777.0,1794.0,5.0,1785.5,-8.5,3.1260602999080875,3.125870611793978,3.1259654558510332,9.484405705473264e-05,30.548652139773296,30.543091436482488,30.54587178812789,0.0027803516454021353,0.9198414308860462,0.9196739941936402,0.9197577125398432,8.37183462030211e-05,18.83,0.03,187.0,3.3650766804112915,3.364666930057312,3.3699823759309733,3.3665753287998585,0.00241494671485355,38.105256993008325,38.0913389671524,38.27215253877165,38.15624949964413,0.08215255613867789,21.02,1.49,1412.875,1419.25,6.0,398.556831933979,1406.5,rw,1
7,2019-07-01 12:05:26.547,2019-07-01 12:05:28.929,1918.0,1888.0,5.0,1903.0,15.0,3.128521269462459,3.1276245280404757,3.1280728987514674,0.0004483707109914637,30.620856603744024,30.59453318939617,30.60769489657009,0.013161707173928505,0.9220155581487258,0.9212229416035259,0.9216192498761261,0.00039630827259989904,18.59,0.05,205.0,3.3619120291294484,3.363319262630462,3.3654051741970545,3.363545488652321,0.0014350143496520162,37.9978509901919,38.04558653519303,38.11641741811593,38.05328498116696,0.048709677412714716,21.59,1.59,1501.0,1489.75,11.0,429.24935643516113,1512.25,rw,1
8,2019-07-01 12:05:48.745,2019-07-01 12:05:51.156,2051.0,1982.0,5.0,2016.5,34.5,3.1293880101866285,3.128251446893765,3.128819728540197,0.0005682816464316343,30.646313707614016,30.61293450421699,30.629624105915504,0.016689601698514522,0.9227820894753076,0.9217770181525508,0.9222795538139292,0.0005025356613784226,18.8,0.08,236.0,3.3645745760094745,3.363765094367837,3.3652365117320016,3.3645253940364377,0.0006017094618642406,38.088202437277005,38.06071817492995,38.110686916375094,38.08653584286069,0.02043366394154872,21.83,1.7,1586.125,1560.25,26.0,459.4089308897357,1612.0,rw,1
10,2019-07-01 12:07:01.671,2019-07-01 12:07:03.144,2065.0,2039.0,5.0,2052.0,13.0,3.1302304017256337,3.1297956154491717,3.1300130085874027,0.00021739313823077036,30.671069166477547,30.658290387222337,30.664679776849944,0.006389389627603492,0.9235274937765868,0.92314271573331,0.9233351047549484,0.0001923890216384838,18.55,0.08,218.0,3.363055910739719,3.3646501958114032,3.365991079793624,3.364565728781582,0.001199765352918511,38.036650191191015,38.09077062561112,38.136328700166246,38.08791650565613,0.04074359490291325,21.92,1.73,1612.75,1603.0,10.0,468.0279779297387,1622.5,rw,1
11,2019-07-01 12:07:17.269,2019-07-01 12:07:18.754,2208.0,2138.0,5.0,2173.0,35.0,3.1320082794133803,3.1310380272567664,3.131523153335073,0.0004851260783069744,30.72335961747304,30.694815466544423,30.709087542008728,0.014272075464310419,0.9251019960834416,0.9242425115957632,0.9246722538396024,0.00042974224383912624,18.55,0.11,252.0,3.363076211874917,3.364466836425305,3.3668251146275106,3.3647893876425776,0.0015473843366411574,38.037339021700994,38.08454360113322,38.16468430869698,38.0955223105104,0.05256490955453137,22.24,1.85,1703.5,1677.25,26.0,500.12535678567633,1729.75,bdg,2
12,2019-07-01 12:07:30.515,2019-07-01 12:07:31.978,2221.0,2229.0,5.0,2225.0,-4.0,3.1339725130465887,3.131715109609207,3.1328438113278976,0.0011287017186909498,30.78120018416256,30.71473289866961,30.747966541416087,0.03323364274647567,0.9268436162827064,0.9248422395046012,0.9258429278936536,0.0010006883890524845,18.33,0.12,226.0,3.3608599235258447,3.3642225025567742,3.3667954621822007,3.363959296088273,0.002430310408030152,37.9621880323902,38.076246891520725,38.16367594068665,38.067370288199186,0.08249622157940055,22.45,1.91,1742.5,1745.5,3.0,513.0090764304273,1739.5,bdg,2
15,2019-07-01 12:09:25.201,2019-07-01 12:09:26.795,2219.0,2265.0,5.0,2242.0,-23.0,3.1332767737216263,3.1339410402924397,3.1336089070070328,0.0003321332854067105,30.76070453134387,30.780272837723174,30.770488684533518,0.009784153189649205,0.9262264777415548,0.9268156932283004,0.9265210854849276,0.000294607743372699,18.15,0.13,247.0,3.3596881049683525,3.365336331059812,3.370445939488301,3.3651567918388223,0.00439370205624347,37.92249347008919,38.11407832376435,38.28794848110785,38.108173424987136,0.14925479811793715,22.4,1.95,1755.25,1772.5,17.0,517.709945939809,1738.0,bdg,2
16,2019-07-01 12:09:43.904,2019-07-01 12:09:45.386,2305.0,2322.0,5.0,2313.5,-8.5,3.1342849302527496,3.1340557161361247,3.1341703231944376,0.00011460705831223271,30.79040658454357,30.78365185749922,30.78702922102139,0.003377363522174548,0.927120827482108,0.9269174378935501,0.9270191326878291,0.00010169479427907246,18.27,0.13,240.0,3.3587147121825915,3.365403192168648,3.3663306356497245,3.363482846666988,0.003392773467102953,37.88954149365141,38.116350073079865,38.147871262039054,38.05125427625677,0.1150700203697108,22.74,2.0,1808.875,1815.25,6.0,536.0995040859951,1802.5,bdg,2
17,2019-07-01 12:09:59.129,2019-07-01 12:10:00.582,2343.0,2375.0,5.0,2359.0,-16.0,3.135312883700716,3.133625498267098,3.134469190983907,0.0008436927168087305,30.82071156997288,30.770976403965072,30.795843986968976,0.024867583003905125,0.9280333319367317,0.9265357710605051,0.9272845514986184,0.0007487804381132722,18.37,0.15,252.0,3.358912139456911,3.365526253557945,3.3641850358380734,3.362874476284309,0.002854797259975394,37.89622339663167,38.120531583214365,38.07497476150312,38.03057658044972,0.0968054389058872,22.91,2.04,1843.0,1855.0,12.0,548.0570134575416,1831.0,bdg,2
18,2019-07-01 12:10:17.568,2019-07-01 12:10:19.140,2390.0,2432.0,5.0,2411.0,-21.0,3.134057883694029,3.13308907226095,3.1335734779774898,0.0004844057165394045,30.78371572878941,30.755176628407174,30.76944617859829,0.014269550191119862,0.9269193611030812,0.9260600286909118,0.9264896948969964,0.00042966620608470013,18.88,0.15,262.0,3.353609067494067,3.365813898908024,3.3649061659895527,3.361443044130548,0.005551839768251946,37.7170142318161,38.130306694172894,38.09946470304501,37.98226187634466,0.1879805695635354,23.17,2.13,1882.0,1897.75,16.0,561.7083228865315,1866.25,bdg,2
21,2019-07-01 12:10:57.985,2019-07-01 12:10:59.456,2389.0,2444.0,5.0,2416.5,-27.5,3.1373524588559225,3.1336075618214982,3.1354800103387106,0.0018724485172116891,30.880898920695802,30.77044802035432,30.82567347052506,0.05522545017074343,0.929845615456047,0.9265198610578524,0.9281827382569496,0.0016628771990973013,18.28,0.19,269.0,3.359916414610197,3.3664668460726754,3.3630651269244027,3.3631494625357585,0.0026748672811517204,37.93022513357335,38.15250213329949,38.036962901204966,38.039896722692596,0.09076791515803634,23.05,2.1,1886.125,1906.75,21.0,563.3057036647598,1865.5,bdg,2
22,2019-07-01 12:11:10.621,2019-07-01 12:11:12.111,2424.0,2450.0,5.0,2437.0,-13.0,3.1360284740240227,3.1345441382470267,3.1352863061355247,0.0007421678884977911,30.84181954665381,30.798046393726395,30.819932970190106,0.02188657646370729,0.9286689079806256,0.9273508675172064,0.9280098877489158,0.0006590202317096061,18.43,0.16,257.0,3.360129245514167,3.3657462278048746,3.3643338941469163,3.3634031224886525,0.002385703868659072,37.93743355885276,38.12800686288379,38.0800292044809,38.048489875405814,0.08093451266798263,23.09,2.11,1901.5,1911.25,10.0,568.3460851453101,1891.75,bdg,2
23,2019-07-01 12:11:25.815,2019-07-01 12:11:27.390,2457.0,2527.0,5.0,2492.0,-35.0,3.1379053948626257,3.1338589826869896,3.135882188774808,0.0020232060878180307,30.89722941340464,30.777855093433384,30.837542253419013,0.059687159985628575,0.9303373380928311,0.9267428932449536,0.9285401156688924,0.0017972224239387047,18.47,0.22,284.0,3.360128783712236,3.3659289505705647,3.3653842599036867,3.363813998062162,0.002615310763475438,37.93741791697436,38.134216986246585,38.11570679968453,38.06244723430182,0.08873144649322245,23.2,2.17,1942.75,1969.0,26.0,583.1760781487868,1916.5,bdg,2
