,dt_xrd,dt_temp,temp_us,temp_ds,exp_t,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
4,2019-07-01 09:34:04.619,2019-07-01 09:34:23.591,1337.0,1260.0,5.0,1298.5,38.5,3.1118524105971703,3.111407886460638,3.1123971390902967,3.1128139611056884,3.1119330881723197,3.1120808970852227,0.00048257408024763367,30.134013123162518,30.12110115210464,30.1498407335138,30.161955640371364,30.13635693818089,30.14065351746664,0.014021667520429026,0.9073563580718559,0.9069675695295956,0.9078329385666816,0.9081977269445101,0.9074269319927728,0.9075563050210832,0.0004222022842902509,21.8,0.06,168.0,3.3308661436550486,3.344096078807961,3.3309065606985326,3.3352895943871808,0.00622714671281741,36.95485823632547,37.39695483314694,36.9562034938394,37.10267218777061,0.20808997886605812,22.34,1.16,1047.625,1018.75,29.0,273.4125948657998,1076.5,rw,1
7,2019-07-01 09:35:59.976,2019-07-01 09:36:11.253,1897.0,1825.0,5.0,1861.0,36.0,3.1193607592439148,3.1190205586996718,3.1203459347304414,3.1210036630371865,3.12041336491027,3.120028856124297,0.0007296096907888994,30.352663948855724,30.342734157975887,30.381431521280465,30.400647602116226,30.383401177566572,30.372175681558968,0.021306541783037317,0.9139400884259752,0.9136410954291804,0.9148063002922536,0.915384910019816,0.9148656080302278,0.9145276004394908,0.0006415549789650107,21.18,0.01,222.0,3.330026719838939,3.3437654285126475,3.3428682636882328,3.3388868040132733,0.006275722793047139,36.9269258879984,37.38586296442289,37.35577806470295,37.22285563904143,0.2096140715093256,23.58,1.65,1469.5,1442.5,27.0,419.04123007169585,1496.5,bdg,2
8,2019-07-01 09:36:40.909,2019-07-01 09:36:43.313,1969.0,1832.0,5.0,1900.5,68.5,3.1203465622539848,3.1205787201670554,3.1216675127679063,3.1223582570793154,3.122051647724697,3.121400539998592,0.0007998368157182106,30.381449851043698,30.3882316157998,30.42005073990545,30.4402487207374,30.43128208612828,30.412252602722926,0.023377476894848703,0.9148068522143341,0.9150110559274351,0.9159691521639886,0.9165773275919732,0.9163073359088264,0.9157343447613115,0.0007039122937102276,20.86,0.03,259.0,3.3264651479167497,3.342855705053746,3.340601344931804,3.3366407326341,0.0072538462507750435,36.80856891887426,37.3553570467957,37.279832714170745,37.1479195599469,0.2419299132695545,23.89,1.72,1499.125,1447.75,51.0,431.4819211522657,1550.5,bdg,2
9,2019-07-01 09:37:03.372,2019-07-01 09:37:05.815,1998.0,1878.0,5.0,1938.0,60.0,3.1216748012653612,3.122157169648208,3.1221047582913197,3.1232247691742434,3.1235316067938297,3.122538621034592,0.000712284580976656,30.42026381542918,30.434367822353806,30.43283515152705,30.465598948599162,30.47457900379632,30.445528948341106,0.0208362222306629,0.915975568018074,0.9164002495998148,0.916354099801784,0.9173406408066764,0.9176110365931808,0.9167363189639058,0.0006273933260040228,20.62,0.04,254.0,3.3273839056338637,3.3427491115868384,3.3418452634338998,3.3373260935515336,0.007039865567541849,36.83907652670348,37.351783715728594,37.32149318664411,37.170784476358726,0.2348786948425664,23.93,1.75,1527.25,1482.25,45.0,440.5286462024916,1572.25,bdg,2
10,2019-07-01 09:37:27.068,2019-07-01 09:37:28.637,1988.0,1891.0,5.0,1939.5,48.5,3.1220551638911735,3.1218383890436607,3.123282240298625,3.1230033245749698,3.123210408296321,3.1226779052209506,0.0006078276635858004,30.4313849046462,30.425046482884213,30.46728079147761,30.4591191421292,30.465178699560493,30.449602004139546,0.017779680624619053,0.9163104318468148,0.9161195775035058,0.9173912822802432,0.9171455292702352,0.9173279868121472,0.9168589615425892,0.0005353587055696891,20.58,0.04,242.0,3.3259675527876618,3.341807444403813,3.3455661421312595,3.3377803797742445,0.008492707193539069,36.792053166450074,37.32022612016802,37.44629557694933,37.18619162118915,0.2834104421874836,23.89,1.8,1528.375,1492.0,36.0,440.0898397273561,1564.75,bdg,2
11,2019-07-01 09:37:36.383,2019-07-01 09:37:37.783,2042.0,1961.0,5.0,2001.5,40.5,3.122794210241964,3.123704596974666,3.1242938987370468,3.1238644538203797,3.12406261849154,3.1237439556531195,0.0005142117579448737,30.453000981592027,30.47964259421525,30.49689623838793,30.484322257790232,30.490124012959047,30.480797216988897,0.015050298214416091,0.9169613071475322,0.9177635048669056,0.918283024244428,0.9179044128329654,0.9180791077671874,0.9177982713718038,0.00045317507893533163,20.47,0.05,241.0,3.3264233885097214,3.342118874954018,3.3453390391560442,3.3379604342065945,0.008263168558158271,36.80718268635982,37.33066095992742,37.43867033131649,37.1921713258679,0.2757761114741223,24.05,1.84,1574.875,1544.5,30.0,455.7534457151696,1605.25,bdg,2
12,2019-07-01 09:37:53.445,2019-07-01 09:37:54.907,2123.0,2014.0,5.0,2068.5,54.5,3.1232979564052186,3.1252201870885075,3.1252033166457918,3.125204432377937,3.1253371162674743,3.1248526017569858,0.0007789199157377434,30.467740720557128,30.52402937314136,30.52353505490612,30.52356774663653,30.527455643631143,30.513265707774462,0.02280932584760506,0.9174051310687488,0.9191000220413134,0.9190851377711096,0.9190861221421364,0.9192031894588316,0.918775920496428,0.0006868048655374432,20.36,0.07,261.0,3.3297721510846765,3.342505342753864,3.3438002362199812,3.3386925766861735,0.006329806840446127,36.918457737108895,37.3436127135584,37.38703050719827,37.21636698595518,0.2113980709660654,24.17,1.84,1625.125,1584.25,41.0,473.99652243581914,1666.0,bdg,2
13,2019-07-01 09:38:24.972,2019-07-01 09:38:26.428,2141.0,2014.0,5.0,2077.5,63.5,3.1243169140744693,3.1278131612490063,3.1254815315934708,3.12605340412974,3.1261882906474616,3.125970660338829,0.001133414551396957,30.49757021614157,30.600069173319483,30.531687669820446,30.548449978347346,30.552404567065224,30.546036320938807,0.033228832481256826,0.918303318189262,0.9213896339783672,0.9193306187479444,0.9198353436631316,0.9199544191145844,0.919762666738658,0.0010005435485789368,20.02,0.08,271.0,3.3356464228629643,3.3426614455836465,3.3408642166613616,3.339724028369324,0.002975192761138497,37.1141935375657,37.348845060502384,37.28863405044971,37.25055754950593,0.09950778611819244,24.1,1.78,1631.875,1584.25,48.0,476.98616414027146,1679.5,bdg,2
14,2019-07-01 09:38:45.875,2019-07-01 09:38:47.355,2200.0,2131.0,5.0,2165.5,34.5,3.1242569588075297,3.126230676408911,3.1277247480983412,3.128182815962669,3.128113836720924,3.126901807199675,0.0014988575842743751,30.49581451568737,30.55364729882273,30.597474352037164,30.61091969037536,30.60889474017929,30.573350119420386,0.043947337374931,0.9182504528120732,0.91999183864304,0.9213115020820629,0.9217163506887764,0.9216553780122309,0.9205851044476364,0.0013232852798096936,20.07,0.09,251.0,3.338213704251356,3.343774807516513,3.3422510490430395,3.3414131869369696,0.0023463414163371467,37.19995436408153,37.386177558682846,37.335090193082536,37.30707403861563,0.0785639791728772,24.2,1.85,1697.875,1672.0,26.0,498.17360004445237,1723.75,bdg,2
15,2019-07-01 09:39:03.379,2019-07-01 09:39:04.862,2242.0,2127.0,5.0,2184.5,57.5,3.130055253926039,3.127155459188057,3.1264639708987527,3.1260181868881785,3.1277151740365534,3.1274816089875164,0.0014115074292354107,30.66592098023184,30.58076990970481,30.560487993163186,30.547417539150214,30.597193373463092,30.590357959142622,0.04143553613462743,0.9233724782629382,0.9208085195587478,0.9201978167674298,0.9198042561917747,0.9213030416193088,0.92109722248004,0.001247653175440199,19.95,0.11,276.0,3.3397425898289304,3.344695248648688,3.339115318015617,3.341184385497745,0.00249572802076248,37.25108996919495,37.41705994549027,37.23010436654804,37.299418093744414,0.08362536633206527,24.27,1.88,1712.125,1669.0,43.0,504.2825207968744,1755.25,bdg,2
