,dt_xrd,dt_temp,temp_us,temp_ds,exp_t,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_220,w_a_310,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_220,w_v_310,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_220_jbar,w_v_310_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_220,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_220_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
15,2019-07-01 09:03:57.012,2019-07-01 09:04:17.089,1422.0,1384.0,5.0,1403.0,19.0,3.1110069645934386,3.113046697566891,3.113082839223362,3.1129733888363083,3.11254236214561,3.112530450473122,0.0007860012595835204,30.109458848165502,30.168721523366127,30.16977228842115,30.166590255692945,30.154061264595747,30.153720836048297,0.02283651097785215,0.9066170115584882,0.908401452446592,0.908433091722437,0.9083372784759328,0.9079600217300156,0.9079497711866932,0.0006876234289552669,22.04,0.05,159.0,3.319890331238437,3.3382365946258767,3.322654438782554,3.3277591681667187,3.327135133203397,0.00700349275995049,36.59074168091761,37.20071961771892,36.682213055424455,36.851542071459626,36.831304106380145,0.2329033153841604,23.38,1.29,1126.0,1111.75,14.0,299.338871515211,1140.25,rw,1
17,2019-07-01 09:05:36.382,2019-07-01 09:05:55.468,1535.0,1492.0,5.0,1513.5,21.5,3.1110069645934386,3.112387718440356,3.112828008400811,3.112514460928916,3.1122435139350153,3.1121961332597072,0.0006250872939999071,30.109458848165502,30.14956696038369,30.16236398067986,30.153250357602825,30.145376445885038,30.144003318543387,0.01815919419120031,0.9066170115584882,0.9078246950649196,0.9082100223587868,0.9079356047493492,0.9076985157220488,0.9076571698907184,0.0005467861263451587,22.59,0.04,173.0,3.322609083681953,3.3376963222787683,3.3249022844471723,3.330134228784354,3.328835479798062,0.005797398396269045,36.68071091057262,37.18266044166269,36.75671230071746,36.930502528696366,36.88764654541228,0.19289632428093986,23.52,1.33,1208.875,1192.75,16.0,328.12524785704926,1225.0,rw,1
21,2019-07-01 09:07:53.749,2019-07-01 09:08:04.469,1861.0,1823.0,5.0,1842.0,19.0,3.1170512099011125,3.1165613057419748,3.117401364187639,3.1167338347824436,3.116938117876821,3.1169371664979977,0.0002867407862346406,30.285295255941488,30.271017761609144,30.295502708315787,30.27604534001347,30.28199896641805,30.281972006459583,0.00835757694653936,0.9119115696355676,0.9114816642257956,0.9122189232155132,0.9116330481523978,0.9118123160364896,0.9118115042531528,0.0002516525279764103,22.19,0.0,203.0,3.3253763640198697,3.3325635899420862,3.3265573663547734,3.331668628638752,3.3290414872388703,0.003118936684362093,36.77243735641233,37.01138484858827,36.811630297260066,36.981574588354896,36.8942567726539,0.10369485488721823,24.42,1.56,1455.25,1441.0,14.0,413.4598990531005,1469.5,bdg,2
22,2019-07-01 09:08:21.718,2019-07-01 09:08:31.069,1941.0,1884.0,5.0,1912.5,28.5,3.118062046907142,3.118542065384682,3.1196623166662882,3.118986952585409,3.1184479620152463,3.1187402687117536,0.0005469438625527937,30.31476871395845,30.328771536109482,30.361467633351587,30.341753378543558,30.326026067158104,30.334557465824236,0.015961169897500974,0.9127990362141728,0.9132206710511176,0.9142051735664484,0.9136115634697248,0.9131380030473992,0.9133948894697724,0.00048060206682631375,21.84,0.01,220.0,3.326223348023169,3.3309311738807605,3.3269524478597945,3.3315744859417147,3.32892036392636,0.0023576635029314693,36.800542686186134,36.957022745123616,36.824747751777785,36.97843972065016,36.890188225934416,0.07838041485189208,24.62,1.61,1508.125,1486.75,21.0,432.09322001305463,1529.5,bdg,2
24,2019-07-01 09:09:27.938,2019-07-01 09:09:30.298,1992.0,1943.0,5.0,1967.5,24.5,3.1225742231837312,3.121781502164676,3.1219825177770923,3.121550334492297,3.1234822605138968,3.1222741676263386,0.0006929985656705586,30.44656559674755,30.42338327596916,30.42926065926628,30.416625229078427,30.47313469312017,30.437793890836314,0.020270714013851356,0.91676753317752,0.916069497171922,0.9162464693223512,0.9158660076204508,0.9175675473815156,0.9165034109347521,0.0006103654753168692,20.83,0.04,221.0,3.3279594581257657,3.331793397065129,3.3264604238959463,3.3302049612920963,3.3291045600947338,0.002045937548264337,36.85819649360928,36.98572953848217,36.808412099977325,36.93285580549561,36.896298484391096,0.0680259682566933,24.76,1.66,1549.375,1531.0,18.0,446.27137991501314,1567.75,bdg,2
25,2019-07-01 09:09:43.038,2019-07-01 09:09:45.417,2100.0,2057.0,5.0,2078.5,21.5,3.123177917682188,3.1210090529439376,3.123011817697112,3.123329026251424,3.123158038659516,3.122737170646836,0.0008698853587967954,30.464227925895816,30.400805106198035,30.45936764688169,30.46864998773096,30.463646215305875,30.45133937640248,0.02543775087693485,0.917299358347488,0.915389652578647,0.9171530119233507,0.9174325097437356,0.9172818426319348,0.9169112750450312,0.0007659485943309094,21.13,0.05,229.0,3.3303452557287043,3.3319035504068015,3.326980816506181,3.3295300156483347,3.3296899095725068,0.0017814625758557129,36.9375237096144,36.989398046021954,36.82568976447994,36.9104043781087,36.91575397455625,0.05924008513112049,25.01,1.77,1632.625,1616.5,16.0,475.0948952906672,1648.75,bdg,2
28,2019-07-01 09:10:45.935,2019-07-01 09:10:47.458,2133.0,2083.0,5.0,2108.0,25.0,3.122391468137353,3.1248845767020392,3.123165930636976,3.123833212578411,3.124775316562996,3.123810100923555,0.0009501734492143037,30.44122006694766,30.514196707964807,30.46387715368345,30.483407661228,30.510996075694994,30.482739533103786,0.02781398163486277,0.9166065755104691,0.9188039535678488,0.91728879634913,0.91787687368634,0.9187075802760476,0.9178567558779672,0.0008374985759957293,20.88,0.06,236.0,3.327795414539991,3.3315138897785763,3.3309065606985326,3.3299263707341953,3.330035558937824,0.0014119379526763985,36.85274625953133,36.97642201627058,36.9562034938394,36.92358765146132,36.92723985527565,0.04695852350373488,25.06,1.79,1654.75,1636.0,19.0,482.8856366936171,1673.5,bdg,2
29,2019-07-01 09:11:01.722,2019-07-01 09:11:03.175,2167.0,2117.0,5.0,2142.0,25.0,3.1250381112706043,3.125693774431338,3.124941972081555,3.125482705997781,3.124775316562996,3.1251863760688545,0.00034523910606805685,30.518694679747934,30.537908060529794,30.51587811989448,30.53172208681385,30.510996075694994,30.523039804536214,0.010116010108470906,0.9189393906660928,0.9195179190931306,0.9188545820652444,0.9193316550678552,0.9187075802760476,0.9190702254336742,0.000304600188920266,20.55,0.07,239.0,3.334194919538841,3.331166848030529,3.3309065606985326,3.3279377678767816,3.3310515240361718,0.00221420000786252,37.065764001168105,36.964867786693844,36.9562034938394,36.857475819341566,36.961077775260726,0.0737066719691003,25.07,1.83,1680.25,1661.5,19.0,491.73820588296786,1699.0,bdg,2
32,2019-07-01 09:11:52.138,2019-07-01 09:11:53.580,2269.0,2134.0,5.0,2201.5,67.5,3.1259776835832938,3.1258684369680365,3.1264350737071545,3.126387527051093,3.126808766980061,3.126295497657928,0.00033905247341768017,30.546230160899988,30.543027685416337,30.559640610187344,30.558246383289895,30.570600022642736,30.555548972487262,0.009941574464853869,0.9197685033964076,0.9196720746041394,0.920172301469228,0.920130320315413,0.92050229709681,0.9200490993763996,0.00029934780883852854,20.42,0.1,288.0,3.3366532719203392,3.3317874537176646,3.3379154665005,3.3306385795626765,3.3342486929252946,0.0030950704969094907,37.14781191311845,36.98553161025835,37.189984864925755,36.94728450875885,37.06765322426535,0.10322673208175456,24.94,1.91,1724.875,1674.25,51.0,509.4353033322779,1775.5,bdg,2
36,2019-07-01 09:12:40.387,2019-07-01 09:12:41.965,2258.0,2172.0,5.0,2215.0,43.0,3.125642028902841,3.1271495615964984,3.1266701444327065,3.1269335110124934,3.1274140271340767,3.1267618546157228,0.000611151699676813,30.536391430163,30.58059689059587,30.566534292795865,30.574259010780324,30.588356223327125,30.56922756953244,0.017921763566903757,0.9194722522846466,0.9208033098315228,0.9203798751076878,0.9206124718066032,0.9210369488048424,0.9204609715670604,0.0005396369230286853,20.32,0.09,264.0,3.3350216800196923,3.332000082196686,3.33857254623006,3.3306733611448567,3.334066917397824,0.0030413933742901803,37.09334376987365,36.99261310569813,37.21195210425869,36.9484420331211,37.0615877532379,0.10146100067816773,24.99,1.91,1735.0,1702.75,32.0,511.39637268952146,1767.25,bdg,2
