,dt_xrd,dt_temp,temp_us,temp_ds,exp_t,temp,t_err,w_a_200,w_a_110,w_a_mean,w_a_std,w_v_200,w_v_110,w_v_mean,w_v_std,w_v_200_jbar,w_v_110_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211_ang3,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
6,2019-07-01 11:02:40.890,2019-07-01 11:02:53.352,1771.0,1621.0,5.0,1696.0,75.0,3.124567491195017,3.124079976438007,3.1243237338165115,0.00024375737850501625,30.504908722246853,30.490632244334932,30.497770483290893,0.007138238955958443,0.9185242857764924,0.9180944109718552,0.9183093483741736,0.00021493740231859348,19.03,0.02,245.0,3.3612116253819853,3.3787108172059424,3.3798438407293663,3.3732554277724316,0.008528806778256197,37.97410709731964,38.57030443072178,38.609120169353076,38.38451056579817,0.2906314052722427,20.24,1.56,1345.75,1289.5,56.0,379.3698632271678,1402.0,rw,1
7,2019-07-01 11:03:11.961,2019-07-01 11:03:24.687,1903.0,1753.0,5.0,1828.0,75.0,3.1270833545853782,3.1266610823808394,3.1268722184831086,0.00021113610226941584,30.578654603845354,30.566268519909485,30.57246156187743,0.0061930419679310225,0.9207448262095412,0.9203718724988994,0.9205583493542204,0.0001864768553209717,18.69,0.05,258.0,3.3595785345999603,3.375695715872491,3.380844543678873,3.3720395980504416,0.009058557047809656,37.918783263125746,38.46713819187534,38.643424447412954,38.34311530080468,0.3085584435439889,20.7,1.69,1444.75,1388.5,56.0,413.3879390173352,1501.0,rw,1
8,2019-07-01 11:03:46.828,2019-07-01 11:03:49.566,1954.0,1798.0,5.0,1876.0,78.0,3.129190644883872,3.1283713080081097,3.12878097644599,0.0004096684378809279,30.64051563703129,30.616453506220733,30.62848457162601,0.012031065405283314,0.9226075054865676,0.9218829777812636,0.9222452416339156,0.0003622638526519784,18.24,0.07,266.0,3.358505243186382,3.3729628326465204,3.3741682842829746,3.3685454533719588,0.007116536790690552,37.88245289881437,38.37378755765308,38.41494509288615,38.2237285164512,0.2419025576158953,21.11,1.68,1480.75,1422.25,58.0,426.04315289064317,1539.25,wd,0
9,2019-07-01 11:04:05.080,2019-07-01 11:04:07.448,2067.0,1887.0,5.0,1977.0,90.0,3.1296188135188405,3.130250833020379,3.12993482326961,0.00031600975076928606,30.65309502682922,30.67166974886039,30.6623823878448,0.009287361015582364,0.9229862797728589,0.9235455777351153,0.923265928753987,0.0002796489811282554,18.27,0.09,288.0,3.3592827471089386,3.3727572856431602,3.3727005805438965,3.368246871098665,0.0063386351340782975,37.90876869058748,38.36677253545484,38.364837422830256,38.21345954962418,0.2154504209798861,21.42,1.75,1556.5,1489.0,68.0,453.50983726927024,1624.0,wd,0
11,2019-07-01 11:04:33.751,2019-07-01 11:04:35.273,2139.0,1963.0,5.0,2051.0,88.0,3.1330003031669023,3.1318178628559137,3.1324090830114084,0.0005912201554938433,30.75256256437693,30.71775629827883,30.735159431327876,0.0174031330490525,0.925981317381915,0.92493327619617,0.9254572967890424,0.0005240205928725428,17.75,0.12,293.0,3.3612200879458527,3.3723531646274663,3.371100326452068,3.3682245263417965,0.004979224759293948,37.97439392167188,38.352982962053254,38.31025413414466,38.212543672623255,0.1692983876518337,21.62,1.79,1612.0,1546.0,66.0,472.29486552364716,1678.0,wd,0
13,2019-07-01 11:05:04.450,2019-07-01 11:05:05.905,2162.0,2007.0,5.0,2084.5,77.5,3.1311859541360407,3.1304510049071825,3.1308184795216114,0.0003674746144290975,30.699166230809087,30.67755425999422,30.68836024540165,0.010805985407435159,0.9243735161719506,0.923722764509728,0.9240481403408394,0.000325375831111252,18.42,0.11,286.0,3.3635732364094024,3.3721745837372814,3.369441651629907,3.3683964905921964,0.0035884133132219834,38.054205976551756,38.346890408734886,38.25373283183485,38.21827640570717,0.12208989263625995,21.7,1.8,1637.125,1579.0,58.0,479.9064213794706,1695.25,wd,0
14,2019-07-01 11:05:15.978,2019-07-01 11:05:17.603,2200.0,2063.0,5.0,2131.5,68.5,3.1329127497542535,3.1323325043031143,3.132622627028683,0.00029012272556983015,30.749984444717967,30.73290203392339,30.741443239320677,0.008541205397285978,0.9259036883832524,0.9253893249633424,0.9256465066732974,0.00025718170995514544,18.01,0.13,282.0,3.3655981784950066,3.374151101115119,3.368957594913806,3.3695689581746433,0.003518375109235804,38.12297566644917,38.41435820417829,38.23724851350769,38.258194128045055,0.11987489283867693,21.74,1.84,1672.375,1621.0,51.0,491.2892702179135,1723.75,wd,0
15,2019-07-01 11:05:30.313,2019-07-01 11:05:31.779,2232.0,2074.0,5.0,2153.0,79.0,3.133706412604435,3.1321194848253566,3.132912948714896,0.0007934638895394919,30.77336010692236,30.726632334085316,30.749996220503835,0.023363886418522384,0.9266075460353552,0.925200539885562,0.9259040429604586,0.0007035030748965276,18.01,0.14,294.0,3.361680345655867,3.374463663558503,3.3688019945068217,3.3683153345737304,0.0052301008637705825,37.989995757194144,38.425034665533815,38.23195062256968,38.21566034843254,0.17797704480436394,21.9,1.89,1688.5,1629.25,59.0,497.7464942116619,1747.75,wd,0
16,2019-07-01 11:05:49.844,2019-07-01 11:05:51.332,2220.0,2092.0,5.0,2156.0,64.0,3.1340372626295068,3.13412304405255,3.1340801533410283,4.289071152197009e-05,30.783108092777123,30.785635846157245,30.784371969467177,0.001263876690064336,0.9269010647548019,0.9269771771893366,0.9269391209720692,3.8056217267268266e-05,17.64,0.14,280.0,3.3604780599619906,3.374353842894521,3.3682422627555213,3.367691388537344,0.005678141409584767,37.9492496210465,38.42128320227134,38.2128968924964,38.194476571938075,0.19314658786888747,21.96,1.9,1690.75,1642.75,48.0,497.34084703048467,1738.75,wd,0
17,2019-07-01 11:06:00.592,2019-07-01 11:06:02.100,2356.0,2211.0,5.0,2283.5,72.5,3.13435887989431,3.1348408227795113,3.1345998513369104,0.0002409714426003795,30.792586022568322,30.806792324680572,30.799689173624444,0.007103151056123025,0.9271864518959791,0.9276142136578645,0.9274003327769218,0.0002138808809425963,18.0,0.16,301.0,3.3628736682838656,3.3722069529477428,3.3682364388812513,3.3677723533709534,0.003824402539386306,38.03046696043484,38.347994684729635,38.21269867630095,38.197053440488475,0.1301013553008504,22.31,1.99,1786.375,1732.0,54.0,530.999644097103,1840.75,wd,0
